network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-09-01T00:00:00Z,2.179,5.56,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-09-01T00:00:00Z,2.451,7.42,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-09-01T00:00:00Z,2.294,6.07,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-09-01T00:00:00Z,4.239,2.34,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-09-01T00:00:00Z,1.302,4.99,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-09-01T00:00:00Z,1.592,6.12,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-09-01T00:00:00Z,1.74,6.68,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-09-01T00:00:00Z,2.45,5.53,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-09-01T00:00:00Z,2.295,3.76,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-09-01T00:00:00Z,1.773,5.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-09-01T00:00:00Z,1.789,6.82,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-09-01T00:00:00Z,2.5,6.64,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-09-01T00:00:00Z,1.42,3.8,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:03:00Z,3.511,6.17,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:05:00Z,2.968,6.47,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:07:00Z,2.491,6.98,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:10:00Z,1.936,7.28,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:12:00Z,1.447,7.5,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:15:00Z,0.939,7.45,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-09-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-09-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T00:17:00Z,0.422,7.44,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-09-01T00:30:00Z,2.17,4.15,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-09-01T00:30:00Z,2.46,7.49,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-09-01T00:30:00Z,2.292,5.82,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-09-01T00:30:00Z,4.26,2.35,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-09-01T00:30:00Z,1.276,4.71,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-09-01T00:30:00Z,1.608,6.24,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-09-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-09-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-09-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-09-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-09-01T01:00:00Z,2.181,4.68,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-09-01T01:00:00Z,2.493,7.37,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-09-01T01:00:00Z,2.284,5.2,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-09-01T01:00:00Z,4.291,2.58,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-09-01T01:00:00Z,1.261,4.18,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-09-01T01:00:00Z,1.617,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-09-01T01:00:00Z,1.822,6.28,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-09-01T01:00:00Z,2.521,5.7,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-09-01T01:00:00Z,2.631,3.83,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-09-01T01:00:00Z,1.738,4.94,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-09-01T01:00:00Z,1.832,6.36,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-09-01T01:00:00Z,2.476,6.75,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-09-01T01:00:00Z,1.48,3.79,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T01:03:00Z,3.478,6.01,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-09-01T01:05:00Z,2.943,6.42,1111122 
