network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_water 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-06-01T00:00:00Z,2.17,6.43 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-06-01T00:00:00Z,2.36,7.53 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-06-01T00:00:00Z,2.15,7.39 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-06-01T00:00:00Z,1.0,4.04 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2022-06-01T00:00:00Z,1.0,5.82 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-06-01T00:00:00Z,1.0,6.72 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-06-01T00:00:00Z,1.0,6.59 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-06-01T00:00:00Z,1.0,8.46 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-06-01T00:30:00Z,2.16,6.67 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-06-01T00:30:00Z,2.35,7.52 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-06-01T00:30:00Z,2.13,7.07 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-06-01T01:00:00Z,2.14,6.35 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-06-01T01:00:00Z,2.34,7.52 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-06-01T01:00:00Z,2.12,6.04 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-06-01T01:00:00Z,1.0,4.2 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2022-06-01T01:00:00Z,1.0,5.8 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-06-01T01:00:00Z,1.0,6.62 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-06-01T01:00:00Z,1.0,6.41 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-06-01T01:00:00Z,1.0,7.75 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-06-01T01:30:00Z,2.11,5.94 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-06-01T01:30:00Z,2.33,7.45 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-06-01T01:30:00Z,2.09,5.59 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-06-01T02:00:00Z,2.08,5.61 
