network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-09-01T00:00:00Z,2.182,7.71,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-09-01T00:00:00Z,2.29,6.82,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-09-01T00:00:00Z,2.094,8.11,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-09-01T00:00:00Z,4.069,7.51,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-09-01T00:00:00Z,1.434,8.79,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-09-01T00:00:00Z,1.378,6.29,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-09-01T00:00:00Z,1.7,8.65,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-09-01T00:00:00Z,2.36,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-09-01T00:00:00Z,2.55,7.67,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-09-01T00:00:00Z,1.831,8.07,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-09-01T00:00:00Z,2.155,1.17,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-09-01T00:00:00Z,1.49,9.6,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-09-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-09-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-09-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-09-01T00:30:00Z,2.099,7.61,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-09-01T00:30:00Z,2.259,6.78,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-09-01T00:30:00Z,2.034,8.3,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-09-01T00:30:00Z,4.131,7.51,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-09-01T00:30:00Z,1.405,8.77,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-09-01T00:30:00Z,1.362,5.93,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-09-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-09-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-09-01T00:30:00Z,1.0,-9999.0,1111122 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2017-09-01T00:30:00Z,1.0,14.2,1111122 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2017-09-01T00:30:00Z,1.0,11.87,1111122 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2017-09-01T00:30:00Z,1.0,5.73,1111122 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2017-09-01T00:30:00Z,1.0,8.21,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2017-09-01T00:45:00Z,1.82,5.8,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2017-09-01T00:45:00Z,3.89,6.9,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2017-09-01T00:45:00Z,2.35,6.1,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-09-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-09-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-09-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-09-01T01:00:00Z,2.136,7.08,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-09-01T01:00:00Z,2.284,6.75,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-09-01T01:00:00Z,2.107,7.8,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-09-01T01:00:00Z,4.136,7.24,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-09-01T01:00:00Z,1.375,8.67,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-09-01T01:00:00Z,1.35,6.29,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-09-01T01:00:00Z,1.78,8.61,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-09-01T01:00:00Z,2.42,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-09-01T01:00:00Z,2.53,7.32,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-09-01T01:00:00Z,1.911,7.72,1111122 
