network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-08-01T00:00:00Z,1.87,4.34,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-08-01T00:00:00Z,2.059,6.99,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-08-01T00:00:00Z,1.973,7.47,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-08-01T00:00:00Z,3.803,6.88,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-08-01T00:00:00Z,1.046,5.23,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-08-01T00:00:00Z,1.241,7.15,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-08-01T00:00:00Z,1.53,7.97,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2015-08-01T00:00:00Z,2.339,7.44,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-08-01T00:00:00Z,1.0,7.14,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-08-01T00:00:00Z,1.52,8.3,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-08-01T00:00:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2015-08-01T00:00:00Z,1.0,5.61,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-08-01T00:02:00Z,3.098,2.98,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-08-01T00:05:00Z,2.493,2.74,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-08-01T00:07:00Z,1.928,6.92,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-08-01T00:10:00Z,1.356,7.23,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-08-01T00:12:00Z,1.009,7.48,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-08-01T00:15:00Z,0.169,7.59,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-08-01T00:15:00Z,1.51,7.91,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-08-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-08-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-08-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-08-01T00:30:00Z,1.819,5.3,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-08-01T00:30:00Z,2.091,7.27,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-08-01T00:30:00Z,1.959,7.45,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-08-01T00:30:00Z,3.789,6.96,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-08-01T00:30:00Z,0.989,4.26,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-08-01T00:30:00Z,1.22,6.17,1111122 
