network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-10-01T00:00:00Z,1.991,6.84,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-10-01T00:00:00Z,2.277,8.02,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-10-01T00:00:00Z,2.092,7.25,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-10-01T00:00:00Z,4.085,6.11,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-10-01T00:00:00Z,1.086,7.7,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-10-01T00:00:00Z,1.343,5.84,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-10-01T00:00:00Z,1.612,8.34,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-10-01T00:00:00Z,2.289,5.33,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-10-01T00:00:00Z,2.182,4.16,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-10-01T00:00:00Z,1.658,3.85,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-10-01T00:00:00Z,1.71,6.6,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-10-01T00:00:00Z,2.321,4.48,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-10-01T00:00:00Z,1.32,5.49,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T00:03:00Z,3.449,5.59,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T00:06:00Z,2.97,6.08,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T00:08:00Z,2.516,6.7,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T00:14:00Z,1.443,7.88,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-10-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-10-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-10-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T00:17:00Z,0.961,7.98,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T00:19:00Z,0.455,8.02,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-10-01T00:30:00Z,2.005,6.61,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-10-01T00:30:00Z,2.29,7.9,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-10-01T00:30:00Z,2.098,6.89,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-10-01T00:30:00Z,4.106,6.02,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-10-01T00:30:00Z,1.067,7.48,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-10-01T00:30:00Z,1.342,6.08,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-10-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-10-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-10-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-10-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-10-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-10-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-10-01T01:00:00Z,2.016,7.09,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-10-01T01:00:00Z,2.304,7.32,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-10-01T01:00:00Z,2.122,6.43,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-10-01T01:00:00Z,4.131,5.92,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-10-01T01:00:00Z,1.06,7.18,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-10-01T01:00:00Z,1.346,6.07,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-10-01T01:00:00Z,1.68,8.11,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-10-01T01:00:00Z,2.295,5.46,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-10-01T01:00:00Z,2.353,4.29,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-10-01T01:00:00Z,1.615,4.09,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-10-01T01:00:00Z,1.761,6.54,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-10-01T01:00:00Z,2.28,4.38,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-10-01T01:00:00Z,1.356,5.22,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T01:03:00Z,3.408,5.1,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T01:06:00Z,2.927,5.44,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T01:08:00Z,2.494,6.2,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T01:11:00Z,1.963,7.28,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T01:14:00Z,1.581,7.59,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-10-01T01:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-10-01T01:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-10-01T01:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-10-01T01:17:00Z,0.956,7.88,1111122 
