network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-10-01T00:00:00Z,2.474,8.29,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-10-01T00:00:00Z,2.25,2.1,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-10-01T00:00:00Z,4.255,4.03,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-10-01T00:00:00Z,1.287,5.68,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-10-01T00:00:00Z,1.475,5.57,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:00:00Z,2.105,6.23,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2015-10-01T00:00:00Z,2.508,4.61,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:00:00Z,1.84,8.07,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:00:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2015-10-01T00:00:00Z,1.0,4.28,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:15:00Z,2.1,6.31,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-10-01T00:30:00Z,2.478,7.74,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-10-01T00:30:00Z,2.265,2.29,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-10-01T00:30:00Z,4.266,3.97,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-10-01T00:30:00Z,1.286,5.58,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-10-01T00:30:00Z,1.482,5.13,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:30:00Z,2.09,6.22,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:45:00Z,2.09,6.24,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-10-01T01:00:00Z,2.481,7.5,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-10-01T01:00:00Z,2.268,2.08,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-10-01T01:00:00Z,4.286,4.15,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-10-01T01:00:00Z,1.294,6.11,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-10-01T01:00:00Z,1.496,4.9,1111122 
