network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-07-01T00:00:00Z,1.811,4.66,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-07-01T00:00:00Z,2.103,6.8,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-07-01T00:00:00Z,1.863,6.49,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-07-01T00:00:00Z,3.886,2.1,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-07-01T00:00:00Z,0.968,5.9,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-07-01T00:00:00Z,1.186,6.98,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-07-01T00:00:00Z,1.64,7.02,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-07-01T00:00:00Z,2.34,5.17,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:00:00Z,2.436,7.98,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-07-01T00:00:00Z,1.55,3.87,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:00:00Z,1.639,7.91,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:00:00Z,2.25,4.98,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-07-01T00:00:00Z,1.588,8.56,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:03:00Z,3.517,4.05,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:05:00Z,2.978,4.69,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:07:00Z,2.412,5.59,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:10:00Z,1.916,6.73,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:12:00Z,1.409,7.76,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:14:00Z,0.919,8.62,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T00:17:00Z,0.411,8.67,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-07-01T00:30:00Z,1.828,4.26,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-07-01T00:30:00Z,2.104,6.88,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-07-01T00:30:00Z,1.888,6.12,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-07-01T00:30:00Z,3.888,1.91,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-07-01T00:30:00Z,0.955,5.77,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-07-01T00:30:00Z,1.206,6.52,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-07-01T01:00:00Z,1.829,4.38,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-07-01T01:00:00Z,2.111,6.9,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-07-01T01:00:00Z,1.91,6.09,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-07-01T01:00:00Z,3.904,1.83,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-07-01T01:00:00Z,0.952,5.76,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-07-01T01:00:00Z,1.188,6.51,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-07-01T01:00:00Z,1.7,8.53,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-07-01T01:00:00Z,2.44,5.09,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-07-01T01:00:00Z,2.554,7.33,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-07-01T01:00:00Z,1.52,3.61,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-07-01T01:00:00Z,1.77,7.27,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-07-01T01:00:00Z,2.24,4.97,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-07-01T01:00:00Z,1.72,8.37,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-07-01T01:03:00Z,3.509,3.26,1111122 
