network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_water 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T00:00:00Z,1.97,7.72 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T00:00:00Z,2.91,6.1 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T00:00:00Z,1.18,3.7 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T00:00:00Z,2.07,4.8 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-09-01T00:15:00Z,2.07,3.9 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-09-01T00:15:00Z,0.0,8.3 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T00:30:00Z,1.97,7.6 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-09-01T00:30:00Z,1.0,7.06 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2021-09-01T00:30:00Z,1.0,8.55 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-09-01T00:30:00Z,1.0,0.9 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-09-01T00:30:00Z,1.0,9.12 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T01:00:00Z,2.0,7.13 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T01:00:00Z,2.91,6.3 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T01:00:00Z,1.28,3.5 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T01:00:00Z,2.06,4.8 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-09-01T01:15:00Z,2.07,5.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-09-01T01:15:00Z,0.0,7.9 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T01:30:00Z,2.02,7.31 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2021-09-01T01:30:00Z,1.0,8.1 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-09-01T01:30:00Z,1.0,8.23 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T02:00:00Z,2.04,6.98 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T02:00:00Z,2.92,6.1 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T02:00:00Z,1.38,3.5 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T02:00:00Z,2.08,4.7 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-09-01T02:00:00Z,1.0,6.23 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-09-01T02:15:00Z,2.08,8.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-09-01T02:15:00Z,0.0,7.7 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T02:30:00Z,2.07,6.82 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-09-01T02:30:00Z,1.0,6.17 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2021-09-01T02:30:00Z,1.0,7.6 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-09-01T02:30:00Z,1.0,5.99 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-09-01T02:30:00Z,1.0,1.64 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-09-01T02:30:00Z,1.0,7.7 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T03:00:00Z,2.09,6.39 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T03:00:00Z,2.94,6.1 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T03:00:00Z,1.39,2.6 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T03:00:00Z,2.11,4.7 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-09-01T03:15:00Z,2.09,8.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-09-01T03:15:00Z,0.0,7.4 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T03:30:00Z,2.12,6.87 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-09-01T03:30:00Z,1.0,9.92 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-09-01T03:30:00Z,1.0,5.82 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2021-09-01T03:30:00Z,1.0,7.45 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-09-01T03:30:00Z,1.0,6.01 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-09-01T03:30:00Z,1.0,1.08 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-09-01T03:30:00Z,1.0,6.88 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T04:00:00Z,2.11,7.26 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T04:00:00Z,2.97,5.8 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T04:00:00Z,1.37,2.5 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T04:00:00Z,2.16,4.8 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-09-01T04:00:00Z,2.331,2.31 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-09-01T04:15:00Z,2.11,7.7 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-09-01T04:15:00Z,0.0,7.2 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T04:30:00Z,2.12,7.29 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-09-01T04:30:00Z,1.0,9.03 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-09-01T04:30:00Z,1.0,6.33 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2021-09-01T04:30:00Z,1.0,7.13 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-09-01T04:30:00Z,1.0,5.55 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-09-01T04:30:00Z,1.0,6.18 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T05:00:00Z,2.15,7.27 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T05:00:00Z,2.98,6.0 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T05:00:00Z,1.32,2.5 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T05:00:00Z,2.22,5.1 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-09-01T05:00:00Z,2.378,2.61 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-09-01T05:00:00Z,1.0,1.02 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-09-01T05:15:00Z,2.12,6.9 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-09-01T05:15:00Z,0.0,7.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T05:30:00Z,2.18,7.16 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-09-01T05:30:00Z,1.0,5.9 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-09-01T05:30:00Z,1.0,5.59 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-09-01T06:00:00Z,2.18,7.06 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-09-01T06:00:00Z,2.98,6.1 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2021-09-01T06:00:00Z,1.29,2.3 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-09-01T06:00:00Z,2.27,5.3 
