network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-08-01T00:00:00Z,1.834,4.33,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-08-01T00:00:00Z,2.006,5.78,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-08-01T00:00:00Z,1.931,6.73,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-08-01T00:00:00Z,3.842,6.94,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-08-01T00:00:00Z,0.98,3.49,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-08-01T00:00:00Z,1.212,6.03,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-08-01T00:00:00Z,1.9,6.98,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-08-01T00:00:00Z,2.2,5.44,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-08-01T00:00:00Z,2.171,6.34,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-08-01T00:00:00Z,1.64,4.35,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-08-01T00:00:00Z,1.508,7.87,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-08-01T00:00:00Z,1.37,6.81,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:03:00Z,3.421,3.4,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:06:00Z,2.98,6.39,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:08:00Z,2.455,6.59,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:11:00Z,1.999,6.78,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:14:00Z,1.445,7.11,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-08-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-08-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:17:00Z,0.942,7.11,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T00:20:00Z,0.438,7.24,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-08-01T00:30:00Z,1.835,5.97,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-08-01T00:30:00Z,2.013,6.02,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-08-01T00:30:00Z,1.905,6.67,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-08-01T00:30:00Z,3.892,6.9,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-08-01T00:30:00Z,0.951,4.6,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-08-01T00:30:00Z,1.206,6.19,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-08-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-08-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-08-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-08-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-08-01T01:00:00Z,1.823,6.06,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-08-01T01:00:00Z,2.039,6.01,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-08-01T01:00:00Z,1.914,6.53,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-08-01T01:00:00Z,3.861,6.89,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-08-01T01:00:00Z,0.921,5.38,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-08-01T01:00:00Z,1.212,6.19,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-08-01T01:00:00Z,1.831,6.77,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-08-01T01:00:00Z,2.291,5.48,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-08-01T01:00:00Z,2.351,6.45,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-08-01T01:00:00Z,1.595,4.23,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-08-01T01:00:00Z,1.602,7.91,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-08-01T01:00:00Z,1.48,6.49,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:03:00Z,3.449,3.59,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:06:00Z,2.987,3.29,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:08:00Z,2.468,4.94,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:11:00Z,2.018,6.07,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:14:00Z,1.477,7.03,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-08-01T01:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-08-01T01:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:17:00Z,1.075,7.01,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-08-01T01:20:00Z,0.429,7.12,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-08-01T01:30:00Z,1.8,7.1,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-08-01T01:30:00Z,2.001,5.84,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-08-01T01:30:00Z,1.882,6.54,1111122 
