network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-06-01T00:00:00Z,2.043,4.35,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-06-01T00:00:00Z,2.294,7.1,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-06-01T00:00:00Z,2.077,8.39,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-06-01T00:00:00Z,4.096,8.19,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-06-01T00:00:00Z,1.18,7.5,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-06-01T00:00:00Z,1.299,7.12,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-06-01T00:00:00Z,1.73,6.87,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-06-01T00:00:00Z,2.471,6.49,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-06-01T00:00:00Z,1.837,6.99,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-06-01T00:00:00Z,1.52,4.51,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-06-01T00:00:00Z,1.85,7.57,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-06-01T00:00:00Z,2.218,4.8,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-06-01T00:00:00Z,1.77,9.6,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-06-01T00:03:00Z,3.521,5.04,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-06-01T00:05:00Z,2.987,5.52,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-06-01T00:07:00Z,2.415,6.06,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-06-01T00:10:00Z,1.911,7.44,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-06-01T00:12:00Z,1.405,7.56,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-06-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-06-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-06-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-06-01T00:30:00Z,2.036,2.64,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-06-01T00:30:00Z,2.291,7.03,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-06-01T00:30:00Z,2.09,8.3,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-06-01T00:30:00Z,4.093,7.55,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-06-01T00:30:00Z,1.182,6.33,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-06-01T00:30:00Z,1.3,6.93,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-06-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-06-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-06-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-06-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-06-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-06-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2016-06-01T01:00:00Z,2.06,3.91,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2016-06-01T01:00:00Z,2.299,7.02,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2016-06-01T01:00:00Z,2.092,7.94,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2016-06-01T01:00:00Z,4.093,7.35,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2016-06-01T01:00:00Z,1.16,6.44,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2016-06-01T01:00:00Z,1.301,6.78,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2016-06-01T01:00:00Z,1.81,6.68,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2016-06-01T01:00:00Z,2.54,6.76,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2016-06-01T01:00:00Z,1.914,6.99,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2016-06-01T01:00:00Z,1.54,3.56,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2016-06-01T01:00:00Z,1.94,7.4,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2016-06-01T01:00:00Z,2.28,3.94,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2016-06-01T01:00:00Z,1.867,8.32,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2016-06-01T01:03:00Z,3.521,4.73,1111122 
