network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_water 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T00:00:00Z,2.68,5.85 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T00:00:00Z,2.39,7.95 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T00:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:00:00Z,1.695,6.47 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T00:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T00:00:00Z,0.0,5.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:15:00Z,1.689,6.5 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T00:15:00Z,2.26,8.3 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-07-01T00:15:00Z,0.0,8.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T00:30:00Z,2.65,5.71 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T00:30:00Z,2.35,7.56 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T00:30:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:30:00Z,1.683,6.56 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-07-01T00:30:00Z,1.0,0.09 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-07-01T00:30:00Z,1.0,5.48 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-07-01T00:30:00Z,1.0,6.12 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:45:00Z,1.688,6.57 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-07-01T00:45:00Z,3.2,5.7 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-07-01T00:45:00Z,2.1,4.4 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T01:00:00Z,2.61,5.28 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T01:00:00Z,2.33,7.22 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T01:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:00:00Z,1.683,6.91 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T01:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T01:00:00Z,0.0,5.6 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-07-01T01:00:00Z,1.0,0.25 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:15:00Z,1.683,6.64 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T01:15:00Z,2.26,8.2 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-07-01T01:15:00Z,0.0,7.9 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T01:30:00Z,2.58,4.17 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T01:30:00Z,2.32,6.68 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T01:30:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:30:00Z,1.687,6.74 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-07-01T01:30:00Z,1.0,0.26 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-07-01T01:30:00Z,1.0,0.09 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-07-01T01:30:00Z,1.0,5.45 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-07-01T01:30:00Z,1.0,5.16 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-07-01T01:30:00Z,1.0,5.37 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:45:00Z,1.684,6.46 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-07-01T01:45:00Z,3.19,5.1 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-07-01T01:45:00Z,2.06,4.8 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T02:00:00Z,2.54,5.46 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T02:00:00Z,2.29,7.25 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T02:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:00:00Z,1.683,5.98 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T02:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T02:00:00Z,0.0,5.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:15:00Z,1.683,6.34 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T02:15:00Z,2.26,8.1 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-07-01T02:15:00Z,0.0,7.6 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T02:30:00Z,2.49,5.77 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T02:30:00Z,2.28,7.52 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T02:30:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:30:00Z,1.676,6.7 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-07-01T02:30:00Z,1.0,0.27 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-07-01T02:30:00Z,1.0,0.09 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-07-01T02:30:00Z,1.0,5.78 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-07-01T02:30:00Z,1.0,5.07 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:45:00Z,1.668,6.71 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-07-01T02:45:00Z,3.2,6.4 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-07-01T02:45:00Z,2.02,5.8 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T03:00:00Z,2.47,6.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T03:00:00Z,2.25,7.09 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T03:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:00:00Z,1.661,6.68 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T03:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T03:00:00Z,0.0,5.3 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-07-01T03:00:00Z,1.0,4.99 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:15:00Z,1.655,6.54 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T03:15:00Z,2.26,7.8 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-07-01T03:15:00Z,0.0,7.3 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T03:30:00Z,2.46,4.47 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T03:30:00Z,2.22,7.4 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T03:30:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:30:00Z,1.642,6.54 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-07-01T03:30:00Z,1.0,0.25 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-07-01T03:30:00Z,1.0,0.09 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-07-01T03:30:00Z,1.0,7.16 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-07-01T03:30:00Z,1.0,5.19 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-07-01T03:30:00Z,1.0,4.95 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:45:00Z,1.636,6.46 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-07-01T03:45:00Z,3.2,7.1 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-07-01T03:45:00Z,1.98,5.8 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T04:00:00Z,2.45,5.87 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T04:00:00Z,2.22,7.45 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T04:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:00:00Z,1.625,6.44 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T04:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T04:00:00Z,0.0,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T04:00:00Z,2.2,3.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:15:00Z,1.611,6.42 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T04:15:00Z,2.27,7.1 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-07-01T04:15:00Z,0.0,7.3 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T04:30:00Z,2.45,5.97 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T04:30:00Z,2.22,7.49 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T04:30:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:30:00Z,1.611,6.37 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-07-01T04:30:00Z,1.0,0.27 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-07-01T04:30:00Z,1.0,0.09 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2021-07-01T04:30:00Z,1.0,7.11 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-07-01T04:30:00Z,1.0,4.97 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-07-01T04:30:00Z,1.0,4.45 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:45:00Z,1.602,6.24 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-07-01T04:45:00Z,3.19,7.1 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-07-01T04:45:00Z,1.98,4.8 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T05:00:00Z,2.46,5.27 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T05:00:00Z,2.22,7.39 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T05:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:00:00Z,1.595,6.1 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T05:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T05:00:00Z,0.0,5.3 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T05:00:00Z,2.15,3.49 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:15:00Z,1.589,6.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T05:15:00Z,2.26,7.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2021-07-01T05:15:00Z,0.0,7.5 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T05:30:00Z,2.48,5.29 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T05:30:00Z,2.21,7.49 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T05:30:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:30:00Z,1.586,6.02 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2021-07-01T05:30:00Z,1.0,0.27 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2021-07-01T05:30:00Z,1.0,0.1 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:45:00Z,1.587,5.99 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2021-07-01T05:45:00Z,3.17,6.7 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2021-07-01T05:45:00Z,2.0,5.3 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2021-07-01T06:00:00Z,2.49,5.4 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2021-07-01T06:00:00Z,2.22,7.6 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2021-07-01T06:00:00Z,0.0,0.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T06:00:00Z,1.594,5.88 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2021-07-01T06:00:00Z,0.07,8.4 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2021-07-01T06:00:00Z,0.0,5.3 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T06:00:00Z,2.1,3.95 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2021-07-01T06:00:00Z,1.0,4.54 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2021-07-01T06:00:00Z,1.0,3.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T06:15:00Z,1.588,5.81 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2021-07-01T06:15:00Z,2.25,6.4 
