network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_water 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-11-01T00:00:00Z,1.86,7.47 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-11-01T00:00:00Z,2.48,7.56 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-11-01T00:00:00Z,2.22,7.94 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-11-01T00:00:00Z,1.34,7.86 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-11-01T00:00:00Z,23.24,7.14 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2022-11-01T00:00:00Z,1.22,5.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2022-11-01T00:00:00Z,0.0,4.7 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-11-01T00:00:00Z,2.97,7.0 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2022-11-01T00:00:00Z,1.57,6.1 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-11-01T00:00:00Z,1.98,7.0 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-11-01T00:00:00Z,1.0,7.22 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2022-11-01T00:00:00Z,1.0,6.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-11-01T00:15:00Z,23.13,7.45 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-11-01T00:15:00Z,0.0,7.8 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-11-01T00:15:00Z,2.24,7.6 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2022-11-01T00:15:00Z,0.0,7.4 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2022-11-01T00:15:00Z,0.0,7.1 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-11-01T00:30:00Z,1.9,8.06 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-11-01T00:30:00Z,2.52,7.72 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-11-01T00:30:00Z,2.26,7.84 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-11-01T00:30:00Z,1.36,7.53 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-11-01T00:30:00Z,23.12,7.4 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2022-11-01T00:30:00Z,1.0,7.64 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-11-01T00:30:00Z,1.0,7.03 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-11-01T00:30:00Z,1.0,7.65 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-11-01T00:30:00Z,1.0,6.96 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-11-01T00:45:00Z,23.11,7.38 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-11-01T01:00:00Z,1.93,7.99 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-11-01T01:00:00Z,2.55,7.92 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-11-01T01:00:00Z,2.3,7.64 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-11-01T01:00:00Z,1.36,7.03 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-11-01T01:00:00Z,23.06,7.24 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2022-11-01T01:00:00Z,1.31,5.1 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2022-11-01T01:00:00Z,0.0,4.7 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-11-01T01:00:00Z,2.99,6.3 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2022-11-01T01:00:00Z,1.64,5.7 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-11-01T01:00:00Z,2.06,7.2 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-11-01T01:00:00Z,1.0,7.11 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2022-11-01T01:00:00Z,1.0,6.81 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-11-01T01:15:00Z,23.13,7.26 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-11-01T01:15:00Z,0.0,7.4 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-11-01T01:15:00Z,2.24,7.5 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2022-11-01T01:15:00Z,0.0,7.3 
