network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-11-01T00:00:00Z,2.527,7.18,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-11-01T00:00:00Z,2.265,7.53,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-11-01T00:00:00Z,4.338,7.08,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-11-01T00:00:00Z,1.463,6.65,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-11-01T00:00:00Z,1.51,6.57,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:00:00Z,2.17,6.7,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2015-11-01T00:00:00Z,2.75,6.66,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:00:00Z,1.0,0.16,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:00:00Z,2.08,7.21,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:00:00Z,2.578,6.2,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2015-11-01T00:00:00Z,1.0,7.17,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-11-01T00:03:00Z,3.018,7.31,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-11-01T00:05:00Z,2.461,7.35,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-11-01T00:07:00Z,1.912,7.35,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-11-01T00:10:00Z,1.458,7.38,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-11-01T00:12:00Z,0.953,7.33,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2015-11-01T00:15:00Z,0.46,7.44,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:15:00Z,2.161,6.67,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-11-01T00:30:00Z,2.545,7.17,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-11-01T00:30:00Z,2.288,7.51,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-11-01T00:30:00Z,4.349,7.04,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-11-01T00:30:00Z,1.495,6.58,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-11-01T00:30:00Z,1.527,6.25,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:30:00Z,2.16,6.45,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:45:00Z,2.15,6.63,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2015-11-01T01:00:00Z,2.558,7.16,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-11-01T01:00:00Z,2.318,7.54,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2015-11-01T01:00:00Z,4.388,6.95,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2015-11-01T01:00:00Z,1.543,6.56,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2015-11-01T01:00:00Z,1.55,6.52,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T01:00:00Z,2.15,6.46,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2015-11-01T01:00:00Z,2.73,6.12,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T01:00:00Z,1.0,0.08,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T01:00:00Z,2.07,7.25,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T01:00:00Z,2.592,6.23,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2015-11-01T01:00:00Z,1.0,6.79,1111122 
