network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_water 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-09-01T00:00:00Z,2.2,2.64 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-09-01T00:00:00Z,2.55,2.13 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-09-01T00:00:00Z,1.88,7.06 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-09-01T00:00:00Z,1.49,5.03 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-09-01T00:00:00Z,31.16,6.9 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2022-09-01T00:00:00Z,0.0,0.6 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2022-09-01T00:00:00Z,0.0,4.1 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2022-09-01T00:00:00Z,0.0,5.6 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-09-01T00:00:00Z,3.05,6.3 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-09-01T00:00:00Z,2.22,5.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-09-01T00:15:00Z,31.15,6.02 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-09-01T00:15:00Z,0.0,3.2 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-09-01T00:15:00Z,2.28,7.1 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2022-09-01T00:15:00Z,0.0,6.1 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-09-01T00:30:00Z,2.18,3.05 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-09-01T00:30:00Z,2.57,2.2 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-09-01T00:30:00Z,1.88,7.67 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-09-01T00:30:00Z,1.5,5.1 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-09-01T00:30:00Z,31.28,7.12 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2022-09-01T00:30:00Z,1.0,9.83 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-09-01T00:30:00Z,1.0,6.28 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-09-01T00:30:00Z,1.0,5.82 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-09-01T00:30:00Z,1.0,8.18 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-09-01T00:45:00Z,31.2,6.33 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-09-01T01:00:00Z,2.16,2.83 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-09-01T01:00:00Z,2.58,1.79 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-09-01T01:00:00Z,1.89,8.01 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-09-01T01:00:00Z,1.52,4.99 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-09-01T01:00:00Z,31.25,6.5 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2022-09-01T01:00:00Z,0.0,2.1 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2022-09-01T01:00:00Z,0.0,4.1 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2022-09-01T01:00:00Z,0.0,5.5 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-09-01T01:00:00Z,3.06,6.2 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-09-01T01:00:00Z,2.19,4.8 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2022-09-01T01:00:00Z,1.0,0.63 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2022-09-01T01:15:00Z,31.24,6.63 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-09-01T01:15:00Z,0.0,3.8 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-09-01T01:15:00Z,2.29,6.5 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2022-09-01T01:15:00Z,0.0,5.9 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-09-01T01:30:00Z,2.14,3.75 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-09-01T01:30:00Z,2.58,1.57 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-09-01T01:30:00Z,1.89,7.28 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2022-09-01T01:30:00Z,1.52,4.81 
