network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_water 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T00:00:00Z,2.22,5.81 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T00:00:00Z,2.24,3.49 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T00:00:00Z,2.0,7.24 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2022-08-01T00:00:00Z,0.0,6.3 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-08-01T00:00:00Z,3.02,5.9 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2022-08-01T00:00:00Z,1.04,5.6 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-08-01T00:00:00Z,2.08,6.2 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-08-01T00:00:00Z,1.0,6.46 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2022-08-01T00:00:00Z,1.0,1.0 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-08-01T00:00:00Z,1.0,5.87 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-08-01T00:00:00Z,1.0,6.33 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-08-01T00:00:00Z,1.0,9.18 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-08-01T00:15:00Z,0.0,7.6 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-08-01T00:15:00Z,2.26,6.2 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2022-08-01T00:15:00Z,0.0,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2022-08-01T00:15:00Z,0.0,6.4 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T00:30:00Z,2.2,5.46 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T00:30:00Z,2.22,4.23 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T00:30:00Z,2.01,7.38 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T01:00:00Z,2.17,5.04 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T01:00:00Z,2.2,4.58 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T01:00:00Z,1.99,7.04 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2022-08-01T01:00:00Z,0.0,6.9 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-08-01T01:00:00Z,3.01,5.9 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2022-08-01T01:00:00Z,0.88,5.4 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-08-01T01:00:00Z,2.02,6.3 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-08-01T01:00:00Z,1.0,6.39 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2022-08-01T01:00:00Z,1.0,1.0 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-08-01T01:00:00Z,1.0,5.93 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-08-01T01:00:00Z,1.0,6.02 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-08-01T01:00:00Z,1.0,8.56 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-08-01T01:15:00Z,0.0,7.5 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-08-01T01:15:00Z,2.27,6.1 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2022-08-01T01:15:00Z,0.0,5.9 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2022-08-01T01:15:00Z,0.0,6.1 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T01:30:00Z,2.14,6.59 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T01:30:00Z,2.17,4.38 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T01:30:00Z,1.97,6.24 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T02:00:00Z,2.12,6.48 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T02:00:00Z,2.16,4.09 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T02:00:00Z,1.98,6.66 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2022-08-01T02:00:00Z,0.0,6.6 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-08-01T02:00:00Z,3.01,5.9 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2022-08-01T02:00:00Z,0.75,4.8 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-08-01T02:00:00Z,2.01,5.2 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-08-01T02:00:00Z,1.0,6.26 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2022-08-01T02:00:00Z,1.0,1.03 
TCOON,ioos:station:TCOON:148,27.9799,-97.0288,2022-08-01T02:00:00Z,1.0,5.89 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2022-08-01T02:00:00Z,1.0,5.49 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2022-08-01T02:00:00Z,1.0,7.31 
NERRS,ioos:station:NOAA.NERRS:apadbwq,29.6747,-85.0583,2022-08-01T02:15:00Z,0.0,7.1 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2022-08-01T02:15:00Z,2.26,6.2 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2022-08-01T02:15:00Z,0.0,5.8 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2022-08-01T02:15:00Z,0.0,5.8 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T02:30:00Z,2.12,5.88 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T02:30:00Z,2.17,4.14 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T02:30:00Z,1.99,6.78 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2022-08-01T03:00:00Z,2.11,4.9 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2022-08-01T03:00:00Z,2.17,4.72 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2022-08-01T03:00:00Z,1.99,5.97 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2022-08-01T03:00:00Z,3.01,5.9 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2022-08-01T03:00:00Z,0.68,4.6 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2022-08-01T03:00:00Z,1.99,5.8 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2022-08-01T03:00:00Z,1.0,6.08 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2022-08-01T03:00:00Z,1.0,1.02 
