network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:00:00Z,11.93 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:15:00Z,11.78 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:30:00Z,11.35 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T00:45:00Z,13.02 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:00:00Z,12.88 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:15:00Z,12.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:30:00Z,13.49 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T01:45:00Z,12.38 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:00:00Z,12.79 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:15:00Z,11.29 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:30:00Z,11.72 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T02:45:00Z,11.46 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:00:00Z,11.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:15:00Z,13.33 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:30:00Z,11.62 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T03:45:00Z,17.19 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:00:00Z,14.1 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T04:00:00Z,10.31 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:15:00Z,11.07 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:30:00Z,11.52 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T04:45:00Z,11.92 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:00:00Z,12.26 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T05:00:00Z,8.17 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:15:00Z,11.71 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:30:00Z,11.46 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T05:45:00Z,12.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T06:00:00Z,15.87 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T06:00:00Z,6.83 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T06:15:00Z,10.02 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T06:30:00Z,11.97 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T06:45:00Z,13.57 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T07:00:00Z,11.58 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T07:00:00Z,6.18 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T07:15:00Z,12.63 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T07:30:00Z,13.36 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T07:45:00Z,12.15 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T08:00:00Z,11.52 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T08:00:00Z,7.75 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T08:15:00Z,11.22 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T08:30:00Z,12.52 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T08:45:00Z,11.44 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T09:00:00Z,10.68 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T09:00:00Z,7.29 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T09:15:00Z,9.48 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T09:30:00Z,9.3 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T09:45:00Z,9.16 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T10:00:00Z,9.9 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T10:00:00Z,6.63 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T10:15:00Z,10.24 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T10:30:00Z,10.84 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T10:45:00Z,10.65 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T11:00:00Z,10.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-07-01T11:00:00Z,5.71 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T11:15:00Z,10.47 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-07-01T11:30:00Z,10.98 
