network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T00:00:00Z,65.49,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T00:00:00Z,15.14,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T00:15:00Z,65.09,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T00:15:00Z,14.91,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T00:30:00Z,56.58,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T00:30:00Z,15.83,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T00:45:00Z,68.34,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T00:45:00Z,15.74,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T01:00:00Z,46.32,11113222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T01:00:00Z,15.64,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T01:15:00Z,57.02,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T01:15:00Z,16.33,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T01:30:00Z,45.97,11113222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T01:30:00Z,15.69,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T01:45:00Z,67.39,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T01:45:00Z,15.76,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T02:00:00Z,57.47,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T02:00:00Z,15.77,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T02:15:00Z,65.45,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T02:15:00Z,16.36,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T02:30:00Z,64.45,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T02:30:00Z,16.76,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T02:45:00Z,60.45,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T02:45:00Z,16.87,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-09-01T03:00:00Z,60.22,11114222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-09-01T03:00:00Z,18.32,11111222 
