network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:00:00Z,14.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:00:00Z,18.02 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:00:00Z,24.89 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:15:00Z,15.14 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:15:00Z,19.15 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:15:00Z,26.31 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:30:00Z,14.85 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:30:00Z,19.05 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:30:00Z,26.73 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:45:00Z,14.69 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:45:00Z,19.14 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:45:00Z,26.85 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:00:00Z,15.37 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:00:00Z,19.97 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:00:00Z,27.26 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:15:00Z,14.79 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:15:00Z,20.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:15:00Z,27.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:30:00Z,14.69 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:30:00Z,20.48 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:30:00Z,28.34 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:45:00Z,14.89 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:45:00Z,20.49 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:45:00Z,28.48 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T02:00:00Z,14.68 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T02:00:00Z,21.04 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T02:00:00Z,28.46 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T02:15:00Z,14.63 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T02:15:00Z,21.39 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T02:15:00Z,28.18 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T02:30:00Z,14.32 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T02:30:00Z,20.85 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T02:30:00Z,28.85 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T02:45:00Z,15.04 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T02:45:00Z,20.94 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T02:45:00Z,28.24 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T03:00:00Z,14.91 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T03:00:00Z,21.26 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T03:00:00Z,31.33 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T03:15:00Z,15.25 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T03:15:00Z,21.2 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T03:15:00Z,32.18 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T03:30:00Z,15.09 
