network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-11-01T04:00:00Z,6.11,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-11-01T04:00:00Z,3.33,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-11-01T04:00:00Z,6.42,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-11-01T04:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-11-01T05:00:00Z,6.12,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-11-01T05:00:00Z,3.25,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-11-01T05:00:00Z,5.74,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-11-01T05:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-11-01T06:00:00Z,6.87,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-11-01T06:00:00Z,3.3,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-11-01T06:00:00Z,5.29,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-11-01T06:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-11-01T07:00:00Z,7.38,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-11-01T07:00:00Z,3.81,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-11-01T07:00:00Z,5.38,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-11-01T07:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-11-01T08:00:00Z,7.58,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-11-01T08:00:00Z,4.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-11-01T08:00:00Z,5.11,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-11-01T08:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-11-01T09:00:00Z,7.44,1111122 
