network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:00:00Z,11.44 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:00:00Z,22.24 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:00:00Z,14.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:15:00Z,11.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:15:00Z,21.44 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:15:00Z,14.84 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:30:00Z,11.54 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:30:00Z,30.36 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:30:00Z,14.97 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:45:00Z,11.58 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:45:00Z,26.74 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:45:00Z,15.03 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:00:00Z,11.85 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:00:00Z,20.87 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:00:00Z,15.37 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:15:00Z,11.78 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:15:00Z,26.66 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:15:00Z,15.97 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:30:00Z,11.67 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:30:00Z,35.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:30:00Z,15.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:45:00Z,11.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:45:00Z,40.82 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:45:00Z,15.91 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:00:00Z,11.39 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:00:00Z,23.66 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:00:00Z,15.72 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:15:00Z,11.72 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:15:00Z,26.61 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:15:00Z,16.43 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:30:00Z,11.53 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:30:00Z,22.09 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:30:00Z,14.87 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:45:00Z,11.53 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:45:00Z,33.14 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:45:00Z,14.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T03:00:00Z,11.37 
