network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T04:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T05:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T06:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T07:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T08:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T09:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T10:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T11:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T12:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T13:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T14:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T15:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T16:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T17:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T18:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T19:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T20:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T21:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T22:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-01T23:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T04:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T05:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T06:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T07:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T08:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T09:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T10:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T11:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T12:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T13:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T14:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T15:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T16:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T17:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T18:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T19:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T20:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T21:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T22:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-02T23:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T04:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T05:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T06:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T07:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T08:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T09:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T10:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T11:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T12:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T13:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T14:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T15:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T16:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T17:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T18:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T19:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T20:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T21:00:00Z,-9999.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2022-08-03T22:00:00Z,-9999.0 
