network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T00:00:00Z,24.73 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T00:15:00Z,26.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T00:30:00Z,25.08 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T00:45:00Z,25.78 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T01:00:00Z,24.29 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T01:15:00Z,24.06 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T01:30:00Z,24.27 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T01:45:00Z,23.97 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T02:00:00Z,23.73 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T02:15:00Z,23.23 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T02:30:00Z,23.21 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T02:45:00Z,20.95 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T03:00:00Z,20.19 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T03:15:00Z,19.89 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T03:30:00Z,18.68 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T03:45:00Z,18.22 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T04:00:00Z,17.53 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-08-01T04:00:00Z,3.61 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T04:15:00Z,15.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T04:30:00Z,14.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T04:45:00Z,15.03 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2021-08-01T05:00:00Z,14.24 
