network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T00:00:00Z,19.66,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T00:00:00Z,7.11,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T00:15:00Z,19.01,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T00:15:00Z,6.15,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T00:30:00Z,21.27,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T00:30:00Z,6.32,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T00:45:00Z,19.72,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T00:45:00Z,6.41,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T01:00:00Z,19.38,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T01:00:00Z,6.75,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T01:15:00Z,19.32,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T01:15:00Z,5.72,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T01:30:00Z,19.49,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T01:30:00Z,5.94,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T01:45:00Z,18.46,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-10-01T01:45:00Z,5.52,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-10-01T02:00:00Z,18.34,11111222 
