network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:00:00Z,17.88,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:15:00Z,18.22,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:30:00Z,17.9,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:45:00Z,18.41,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:00:00Z,18.24,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:15:00Z,18.3,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:30:00Z,17.94,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:45:00Z,18.26,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:00:00Z,18.13,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:15:00Z,18.46,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:30:00Z,17.68,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:45:00Z,17.62,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:00:00Z,17.48,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:15:00Z,17.48,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:30:00Z,17.01,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:45:00Z,17.56,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:00:00Z,17.35,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-06-01T04:00:00Z,4.77,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-06-01T04:00:00Z,6.87,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-06-01T04:00:00Z,3.67,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:15:00Z,16.7,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:30:00Z,16.39,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:45:00Z,16.58,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2018-06-01T04:45:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T05:00:00Z,15.54,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-06-01T05:00:00Z,4.88,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-06-01T05:00:00Z,8.65,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-06-01T05:00:00Z,2.92,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T05:15:00Z,15.58,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T05:30:00Z,15.5,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T05:45:00Z,15.86,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2018-06-01T05:45:00Z,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T06:00:00Z,15.31,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-06-01T06:00:00Z,4.16,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-06-01T06:00:00Z,7.78,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-06-01T06:00:00Z,2.83,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T06:15:00Z,15.12,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T06:30:00Z,15.26,1111122 
