network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:00:00Z,20.23 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:00:00Z,5.89 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:15:00Z,21.53 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:15:00Z,7.55 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:30:00Z,22.83 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:30:00Z,5.51 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:45:00Z,20.65 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:45:00Z,5.26 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T01:00:00Z,18.27 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T01:00:00Z,6.02 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T01:15:00Z,19.92 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T01:15:00Z,5.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T01:30:00Z,21.19 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T01:30:00Z,4.84 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T01:45:00Z,18.49 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T01:45:00Z,6.34 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T02:00:00Z,20.28 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T02:00:00Z,4.79 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T02:15:00Z,20.45 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T02:15:00Z,5.2 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T02:30:00Z,22.09 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T02:30:00Z,6.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T02:45:00Z,19.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T02:45:00Z,4.29 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T03:00:00Z,20.57 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T03:00:00Z,5.88 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T03:15:00Z,20.18 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T03:15:00Z,5.28 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T03:30:00Z,4.96 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T03:45:00Z,5.15 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T04:00:00Z,5.34 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-11-01T04:00:00Z,4.57 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-11-01T04:00:00Z,3.28 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-11-01T04:00:00Z,0.79 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-11-01T04:00:00Z,4.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T04:15:00Z,6.1 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T04:30:00Z,4.57 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T04:45:00Z,4.31 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T05:00:00Z,4.7 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-11-01T05:00:00Z,4.42 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-11-01T05:00:00Z,2.88 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-11-01T05:00:00Z,0.84 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-11-01T05:00:00Z,4.24 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T05:15:00Z,4.89 
