network,platform,latitude,longitude,date,relative_humidity,qcFlag 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T00:00:00Z,50.5,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T00:00:00Z,49.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T00:00:00Z,1015.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-07-01T00:04:00Z,75.21,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T00:15:00Z,54.4,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T00:15:00Z,53.2,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T00:15:00Z,1015.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T00:30:00Z,53.7,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T00:30:00Z,53.2,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T00:30:00Z,1015.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-07-01T00:35:00,74.41,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-07-01T00:35:00,72.52,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-07-01T00:41:00Z,70.62,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T00:45:00Z,56.2,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T00:45:00Z,52.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T00:45:00Z,1015.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-07-01T00:45:00Z,78.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-07-01T00:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-07-01T00:45:00Z,90.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-07-01T00:45:00Z,75.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-07-01T00:54:00,75.45,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-07-01T00:54:00,70.81,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-07-01T00:54:00,67.02,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T00:56:00Z,77.14,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-07-01T00:56:00Z,75.0,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T01:00:00Z,58.2,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T01:00:00Z,55.4,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T01:00:00Z,1015.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-07-01T01:04:00Z,74.55,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T01:15:00Z,61.2,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T01:15:00Z,52.5,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T01:15:00Z,1015.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T01:30:00Z,65.2,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T01:30:00Z,58.2,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T01:30:00Z,1016.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-07-01T01:35:00,75.62,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-07-01T01:35:00,70.81,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-07-01T01:35:00,73.91,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-07-01T01:41:00Z,71.72,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T01:45:00Z,65.5,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T01:45:00Z,60.6,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T01:45:00Z,1016.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-07-01T01:45:00Z,79.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-07-01T01:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-07-01T01:45:00Z,95.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-07-01T01:45:00Z,89.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-07-01T01:54:00,77.9,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-07-01T01:54:00,74.15,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-07-01T01:54:00,0.67,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T01:56:00Z,77.78,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-07-01T01:56:00Z,73.69,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T02:00:00Z,65.2,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T02:00:00Z,60.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T02:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-07-01T02:04:00Z,76.07,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T02:15:00Z,66.6,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T02:15:00Z,57.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T02:15:00Z,1016.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T02:30:00Z,67.9,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T02:30:00Z,55.6,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T02:30:00Z,1016.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-07-01T02:35:00,74.2,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-07-01T02:35:00,72.47,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-07-01T02:35:00,71.18,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-07-01T02:41:00Z,70.11,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T02:45:00Z,68.1,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T02:45:00Z,55.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T02:45:00Z,1016.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-07-01T02:45:00Z,77.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-07-01T02:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-07-01T02:45:00Z,98.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-07-01T02:45:00Z,94.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-07-01T02:54:00,77.45,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-07-01T02:54:00,67.29,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-07-01T02:54:00,69.15,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T02:56:00Z,77.95,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-07-01T02:56:00Z,73.01,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T03:00:00Z,68.0,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T03:00:00Z,56.1,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T03:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-07-01T03:04:00Z,76.48,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T03:15:00Z,67.0,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T03:15:00Z,56.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T03:15:00Z,1017.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T03:30:00Z,66.5,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T03:30:00Z,57.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T03:30:00Z,1017.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-07-01T03:30:00Z,73.3,11111222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-07-01T03:35:00,77.63,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-07-01T03:35:00,73.46,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-07-01T03:35:00,76.34,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-07-01T03:41:00Z,69.12,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T03:45:00Z,64.3,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T03:45:00Z,58.8,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T03:45:00Z,1017.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-07-01T03:45:00Z,78.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-07-01T03:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-07-01T03:45:00Z,98.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-07-01T03:45:00Z,96.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-07-01T03:54:00,76.92,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-07-01T03:54:00,72.42,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-07-01T03:54:00,70.6,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T03:56:00Z,74.67,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-07-01T03:56:00Z,73.62,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T04:00:00Z,65.6,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T04:00:00Z,56.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T04:00:00Z,1017.0,11144222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-07-01T04:00:00Z,91.4,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-07-01T04:00:00Z,-999.0,99999999 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-07-01T04:04:00Z,76.63,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T04:15:00Z,63.6,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T04:15:00Z,58.8,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T04:15:00Z,1017.0,11144222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-07-01T04:15:00Z,74.9,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-07-01T04:30:00Z,67.3,11111222 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2019-07-01T04:30:00Z,59.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-07-01T04:30:00Z,1017.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2019-07-01T04:30:00Z,69.4,11111222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-07-01T04:35:00,79.02,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-07-01T04:35:00,74.26,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-07-01T04:35:00,76.77,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-07-01T04:41:00Z,69.53,11111222 
