network,platform,latitude,longitude,date,relative_humidity,qcFlag 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:00:00Z,64.06,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:00:00Z,58.8,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:00:00Z,74.83,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-10-01T00:00:00Z,74.3,1111122 
TABS,ioos:station:TABS:X,27.0660,-96.3383,2018-10-01T00:00:00Z,79.8,22222222 
TABS,ioos:station:TABS:X,27.0660,-96.3383,2018-10-01T00:00:00Z,79.8,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2018-10-01T00:00:00Z,71.9,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2018-10-01T00:00:00Z,71.9,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2018-10-01T00:00:00Z,64.6,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2018-10-01T00:00:00Z,64.6,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2018-10-01T00:00:00Z,79.1,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2018-10-01T00:00:00Z,79.1,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-10-01T00:00:00Z,79.2,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-10-01T00:00:00Z,79.2,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2018-10-01T00:05:00Z,80.2,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:06:00Z,64.13,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:06:00Z,58.89,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:06:00Z,79.39,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:12:00Z,63.77,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:12:00Z,59.77,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:12:00Z,78.01,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-10-01T00:15:00Z,74.8,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:18:00Z,64.51,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:18:00Z,59.99,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:18:00Z,79.46,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:24:00Z,64.28,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:24:00Z,60.82,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:24:00Z,80.11,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:30:00Z,64.94,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:30:00Z,60.86,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:30:00Z,81.17,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-10-01T00:30:00Z,75.3,1111122 
TABS,ioos:station:TABS:X,27.0660,-96.3383,2018-10-01T00:30:00Z,78.1,22222222 
TABS,ioos:station:TABS:X,27.0660,-96.3383,2018-10-01T00:30:00Z,78.1,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2018-10-01T00:30:00Z,75.1,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2018-10-01T00:30:00Z,75.1,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2018-10-01T00:30:00Z,66.2,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2018-10-01T00:30:00Z,66.2,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2018-10-01T00:30:00Z,80.2,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2018-10-01T00:30:00Z,80.2,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-10-01T00:30:00Z,79.4,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-10-01T00:30:00Z,79.4,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2018-10-01T00:30:00Z,87.6,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-10-01T00:34:00Z,86.3,1111122 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2018-10-01T00:35:00Z,80.16,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:36:00Z,65.86,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:36:00Z,61.57,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:36:00Z,79.98,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:42:00Z,66.23,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:42:00Z,62.3,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-10-01T00:42:00Z,83.29,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-10-01T00:45:00Z,75.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2018-10-01T00:45:00Z,86.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2018-10-01T00:45:00Z,77.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2018-10-01T00:45:00Z,79.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2018-10-01T00:45:00Z,81.0,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-10-01T00:47:00Z,80.8,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-10-01T00:48:00Z,66.34,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-10-01T00:48:00Z,62.64,1111122 
