network,platform,latitude,longitude,date,relative_humidity 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:00:00Z,64.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:00:00Z,68.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:00:00Z,67.8 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-08-01T00:00:00Z,80.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-08-01T00:00:00Z,72.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:15:00Z,65.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:15:00Z,71.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:15:00Z,67.7 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:30:00Z,68.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:30:00Z,69.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:30:00Z,68.1 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-08-01T00:30:00Z,81.6 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-08-01T00:31:00Z,75.84 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-08-01T00:35:00Z,74.7 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-08-01T00:35:00Z,79.77 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T00:45:00Z,69.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T00:45:00Z,70.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T00:45:00Z,68.9 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-08-01T00:45:00Z,78.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-08-01T00:45:00Z,80.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-08-01T00:45:00Z,73.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-08-01T00:45:00Z,100.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-08-01T00:45:00Z,80.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-08-01T00:49:00Z,70.61 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-08-01T00:54:00Z,61.55 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-08-01T00:54:00Z,72.1 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T00:57:00Z,75.7 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-08-01T00:57:00Z,75.8 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-08-01T00:59:00Z,161.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:00:00Z,71.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:00:00Z,71.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:00:00Z,70.3 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-08-01T01:00:00Z,83.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-08-01T01:00:00Z,74.9 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:15:00Z,71.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:15:00Z,70.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:15:00Z,70.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:30:00Z,70.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:30:00Z,68.4 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:30:00Z,71.9 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-08-01T01:30:00Z,82.3 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-08-01T01:32:00Z,79.95 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-08-01T01:35:00Z,78.73 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-08-01T01:35:00Z,79.44 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T01:45:00Z,70.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T01:45:00Z,68.8 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T01:45:00Z,71.6 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-08-01T01:45:00Z,82.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-08-01T01:45:00Z,80.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-08-01T01:45:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-08-01T01:45:00Z,100.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-08-01T01:45:00Z,85.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-08-01T01:49:00Z,68.96 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-08-01T01:54:00Z,71.56 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-08-01T01:54:00Z,70.59 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T01:57:00Z,75.66 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-08-01T01:57:00Z,75.16 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-08-01T01:59:00Z,161.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:00:00Z,71.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:00:00Z,68.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:00:00Z,70.8 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-08-01T02:00:00Z,85.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-08-01T02:00:00Z,73.1 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:15:00Z,71.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:15:00Z,69.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:15:00Z,69.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:30:00Z,73.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:30:00Z,69.4 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:30:00Z,71.8 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-08-01T02:30:00Z,82.9 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-08-01T02:31:00Z,79.62 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-08-01T02:35:00Z,84.2 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-08-01T02:35:00Z,78.48 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T02:45:00Z,74.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T02:45:00Z,68.2 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T02:45:00Z,73.1 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-08-01T02:45:00Z,84.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-08-01T02:45:00Z,82.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-08-01T02:45:00Z,83.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-08-01T02:45:00Z,100.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-08-01T02:45:00Z,83.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-08-01T02:49:00Z,69.54 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-08-01T02:54:00Z,74.23 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-08-01T02:54:00Z,67.81 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T02:57:00Z,79.28 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-08-01T02:57:00Z,72.21 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-08-01T02:59:00Z,162.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T03:00:00Z,73.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T03:00:00Z,69.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T03:00:00Z,72.0 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-08-01T03:00:00Z,83.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-08-01T03:00:00Z,70.9 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T03:15:00Z,72.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T03:15:00Z,67.8 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T03:15:00Z,72.5 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T03:27:00Z,75.43 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T03:30:00Z,70.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T03:30:00Z,70.8 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T03:30:00Z,72.8 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-08-01T03:30:00Z,81.1 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-08-01T03:31:00Z,81.5 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-08-01T03:35:00Z,81.59 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-08-01T03:35:00Z,76.36 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T03:45:00Z,70.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T03:45:00Z,70.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T03:45:00Z,72.5 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-08-01T03:45:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-08-01T03:45:00Z,83.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-08-01T03:45:00Z,84.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-08-01T03:45:00Z,100.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-08-01T03:45:00Z,79.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-08-01T03:49:00Z,74.82 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-08-01T03:54:00Z,86.71 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-08-01T03:54:00Z,73.96 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-08-01T03:59:00Z,68.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T04:00:00Z,72.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T04:00:00Z,67.5 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T04:00:00Z,72.6 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-08-01T04:00:00Z,81.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-08-01T04:00:00Z,74.9 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-08-01T04:02:00Z,75.81 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T04:15:00Z,73.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T04:15:00Z,68.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T04:15:00Z,71.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-08-01T04:30:00Z,73.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-08-01T04:30:00Z,69.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-08-01T04:30:00Z,71.9 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-08-01T04:30:00Z,84.5 
