network,platform,latitude,longitude,date,relative_humidity 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T02:50:00Z,68.93 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T02:54:00Z,76.13 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T02:54:00Z,68.95 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T02:57:00Z,74.04 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T02:59:00Z,0.407 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T03:00:00Z,74.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T03:00:00Z,79.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T03:00:00Z,74.8 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T03:00:00Z,86.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T03:15:00Z,76.1 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T03:15:00Z,74.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T03:15:00Z,74.3 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T03:30:00Z,77.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T03:30:00Z,76.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T03:30:00Z,75.8 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T03:31:00Z,83.8 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T03:35:00Z,76.31 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T03:35:00Z,71.02 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T03:45:00Z,76.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T03:45:00Z,75.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T03:45:00Z,76.3 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T03:50:00Z,71.77 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T03:54:00Z,81.78 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T03:54:00Z,70.45 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T03:57:00Z,73.16 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T03:59:00Z,0.407 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T04:00:00Z,76.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T04:00:00Z,78.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T04:00:00Z,77.0 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T04:00:00Z,78.7 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T04:00:00Z,88.5 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T04:02:00Z,75.11 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T04:15:00Z,76.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T04:15:00Z,75.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T04:15:00Z,75.9 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T04:30:00Z,76.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T04:30:00Z,75.2 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T04:30:00Z,75.3 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T04:35:00Z,77.25 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T04:35:00Z,72.07 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T04:45:00Z,75.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T04:45:00Z,77.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T04:45:00Z,76.3 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T04:50:00Z,71.67 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T04:54:00Z,80.46 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T04:54:00Z,72.72 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T04:57:00Z,75.7 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T04:59:00Z,0.407 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T05:00:00Z,76.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T05:00:00Z,77.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T05:00:00Z,75.1 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T05:00:00Z,85.9 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T05:00:00Z,87.1 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T05:01:00Z,86.1 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T05:02:00Z,75.32 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T05:15:00Z,76.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T05:15:00Z,77.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T05:15:00Z,73.1 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T05:30:00Z,76.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T05:30:00Z,76.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T05:30:00Z,75.2 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T05:30:00Z,77.2 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T05:35:00Z,77.31 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T05:35:00Z,70.45 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T05:45:00Z,76.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T05:45:00Z,77.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T05:45:00Z,75.4 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T05:50:00Z,72.83 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T05:54:00Z,79.83 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T05:54:00Z,70.83 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T05:57:00Z,75.05 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T05:59:00Z,0.814 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T06:00:00Z,79.45 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T06:00:00Z,76.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T06:00:00Z,77.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T06:00:00Z,75.7 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2020-07-01T06:00:00Z,84.9 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T06:00:00Z,88.5 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T06:01:00Z,86.1 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T06:15:00Z,76.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T06:15:00Z,77.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T06:15:00Z,74.9 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T06:29:00Z,78.78 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T06:30:00Z,76.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T06:30:00Z,78.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T06:30:00Z,75.6 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2020-07-01T06:30:00Z,76.6 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T06:35:00Z,76.91 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T06:35:00Z,70.93 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T06:45:00Z,76.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T06:45:00Z,76.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T06:45:00Z,76.4 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T06:50:00Z,76.4 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T06:54:00Z,81.25 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T06:54:00Z,70.79 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T06:57:00Z,79.45 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T06:59:00Z,0.407 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T07:00:00Z,76.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T07:00:00Z,76.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T07:00:00Z,77.2 
