network,platform,latitude,longitude,date,relative_humidity 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:00:00Z,70.1 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:00:00Z,65.7 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-11-01T00:00:00Z,82.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-11-01T00:00:00Z,64.78 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-11-01T00:02:00Z,67.32 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:15:00Z,70.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:15:00Z,72.8 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:30:00Z,69.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:30:00Z,71.7 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-11-01T00:30:00Z,82.8 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-11-01T00:35:00Z,87.9 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T00:45:00Z,71.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-11-01T00:45:00Z,71.8 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-11-01T00:45:00Z,82.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-11-01T00:45:00Z,74.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-11-01T00:45:00Z,99.0 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-11-01T00:54:00Z,64.23 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-11-01T00:54:00Z,68.66 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T00:57:00Z,70.65 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-11-01T01:00:00Z,76.5 
