network,platform,latitude,longitude,date,relative_humidity 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-10-01T00:00:00Z,43.8 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-10-01T00:00:00Z,41.7 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-10-01T00:00:00Z,51.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-10-01T00:00:00Z,33.89 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-10-01T00:02:00Z,46.43 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-10-01T00:15:00Z,48.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-10-01T00:15:00Z,45.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-10-01T00:30:00Z,51.2 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-10-01T00:30:00Z,49.5 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-10-01T00:30:00Z,51.6 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-10-01T00:35:00Z,79.6 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-10-01T00:45:00Z,50.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-10-01T00:45:00Z,43.7 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-10-01T00:45:00Z,65.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-10-01T00:45:00Z,65.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-10-01T00:45:00Z,72.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-10-01T00:45:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-10-01T00:45:00Z,75.0 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-10-01T00:54:00Z,82.94 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-10-01T00:54:00Z,62.46 
