network,platform,latitude,longitude,date,relative_humidity 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:00:00Z,76.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:00:00Z,82.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:00:00Z,80.6 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-09-01T00:00:00Z,84.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-09-01T00:00:00Z,89.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-09-01T00:00:00Z,-2.11 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-09-01T00:03:00Z,80.6 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-09-01T00:08:00Z,81.7 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:15:00Z,78.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:15:00Z,84.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:15:00Z,81.8 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:30:00Z,79.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:30:00Z,83.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:30:00Z,81.9 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-09-01T00:30:00Z,83.3 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-09-01T00:31:00Z,88.8 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-09-01T00:35:00Z,77.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T00:45:00Z,80.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T00:45:00Z,83.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T00:45:00Z,82.3 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-09-01T00:45:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-09-01T00:45:00Z,81.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-09-01T00:45:00Z,90.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-09-01T00:45:00Z,84.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-09-01T00:45:00Z,99.0 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-09-01T00:54:00Z,95.95 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-09-01T00:54:00Z,90.36 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T00:57:00Z,85.6 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-09-01T00:59:00Z,81.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:00:00Z,81.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:00:00Z,84.5 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:00:00Z,83.6 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-09-01T01:00:00Z,86.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-09-01T01:00:00Z,89.7 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-09-01T01:00:00Z,-2.478 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-09-01T01:02:00Z,84.9 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-09-01T01:08:00Z,83.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:15:00Z,81.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:15:00Z,84.5 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:15:00Z,83.8 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T01:27:00Z,80.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:30:00Z,82.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:30:00Z,84.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:30:00Z,84.6 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-09-01T01:30:00Z,86.4 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-09-01T01:31:00Z,88.8 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-09-01T01:35:00Z,76.5 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T01:45:00Z,83.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T01:45:00Z,84.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T01:45:00Z,84.8 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-09-01T01:45:00Z,89.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-09-01T01:45:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-09-01T01:45:00Z,93.0 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2020-09-01T01:45:00Z,88.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-09-01T01:45:00Z,100.0 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-09-01T01:54:00Z,96.85 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-09-01T01:54:00Z,90.54 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-09-01T01:59:00Z,80.7 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T02:00:00Z,82.9 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T02:00:00Z,85.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T02:00:00Z,85.1 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-09-01T02:00:00Z,86.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-09-01T02:00:00Z,-2.472 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-09-01T02:00:00Z,95.3 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-09-01T02:02:00Z,81.2 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-09-01T02:08:00Z,77.94 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-09-01T02:15:00Z,83.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-09-01T02:15:00Z,86.0 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-09-01T02:15:00Z,85.0 
