network,platform,latitude,longitude,date,relative_humidity,qcFlag 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T00:00:00Z,60.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T00:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-08-01T00:04:00Z,70.92,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T00:15:00Z,61.4,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T00:15:00Z,1016.0,11144222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-08-01T00:21:00Z,55.65,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T00:30:00Z,64.4,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T00:30:00Z,1016.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-08-01T00:35:00,86.43,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-08-01T00:35:00,77.2,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-08-01T00:35:00,79.27,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T00:45:00Z,64.3,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T00:45:00Z,1016.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-08-01T00:45:00Z,66.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-08-01T00:45:00Z,100.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-08-01T00:54:00,88.68,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-08-01T00:54:00,85.56,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-08-01T00:54:00,62.65,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-08-01T00:56:00Z,64.19,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-08-01T00:57:00Z,59.75,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T01:00:00Z,64.5,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T01:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-08-01T01:04:00Z,71.62,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T01:15:00Z,63.3,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T01:15:00Z,1016.0,11144222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-08-01T01:21:00Z,57.02,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T01:30:00Z,63.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T01:30:00Z,1016.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-08-01T01:35:00,81.04,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-08-01T01:35:00,86.52,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-08-01T01:35:00,75.08,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T01:45:00Z,65.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T01:45:00Z,1016.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-08-01T01:45:00Z,68.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-08-01T01:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-08-01T01:45:00Z,106.0,11144222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-08-01T01:45:00Z,82.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-08-01T01:54:00,92.73,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-08-01T01:54:00,88.13,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-08-01T01:54:00,63.87,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-08-01T01:56:00Z,62.16,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-08-01T01:57:00Z,56.9,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T02:00:00Z,66.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T02:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-08-01T02:04:00Z,73.01,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T02:15:00Z,64.4,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T02:15:00Z,1016.0,11144222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-08-01T02:21:00Z,58.63,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T02:30:00Z,64.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T02:30:00Z,1016.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-08-01T02:35:00,67.75,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-08-01T02:35:00,82.72,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-08-01T02:35:00,80.26,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T02:45:00Z,68.1,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T02:45:00Z,1016.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-08-01T02:45:00Z,73.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-08-01T02:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-08-01T02:45:00Z,106.0,11144222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-08-01T02:45:00Z,88.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-08-01T02:54:00,82.64,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-08-01T02:54:00,75.92,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-08-01T02:54:00,70.32,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-08-01T02:56:00Z,64.02,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-08-01T02:57:00Z,60.36,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T03:00:00Z,67.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T03:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-08-01T03:04:00Z,73.86,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T03:15:00Z,69.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T03:15:00Z,1016.0,11144222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-08-01T03:21:00Z,57.61,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T03:30:00Z,70.1,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T03:30:00Z,1016.0,11144222 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2019-08-01T03:35:00,78.7,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-08-01T03:35:00,71.67,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-08-01T03:35:00,83.76,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T03:45:00Z,69.5,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T03:45:00Z,1016.0,11144222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-08-01T03:45:00Z,75.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-08-01T03:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2019-08-01T03:45:00Z,100.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-08-01T03:45:00Z,91.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-08-01T03:54:00,89.72,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-08-01T03:54:00,74.25,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-08-01T03:54:00,95.95,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-08-01T03:56:00Z,61.62,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-08-01T03:57:00Z,59.0,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T04:00:00Z,69.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T04:00:00Z,1016.0,11144222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-08-01T04:04:00Z,75.21,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T04:15:00Z,70.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T04:15:00Z,1016.0,11144222 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2019-08-01T04:15:00Z,92.7,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-08-01T04:21:00Z,60.96,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-08-01T04:30:00Z,67.7,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-08-01T04:30:00Z,1016.0,11144222 
