network,platform,latitude,longitude,date,relative_humidity,qcFlag 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T02:45:00Z,79.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T02:45:00Z,87.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T02:45:00Z,76.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T02:54:00,85.5,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T02:54:00,83.67,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T02:54:00,69.13,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T02:56:00Z,76.7,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T02:57:00Z,68.34,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T03:00:00Z,61.5,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T03:00:00Z,1024.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T03:15:00Z,63.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T03:15:00Z,1024.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T03:30:00Z,63.1,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T03:30:00Z,1025.0,11144222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2019-11-01T03:30:00Z,32.7,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T03:30:00Z,50.5,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T03:34:00Z,82.0,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T03:35:00,82.88,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T03:35:00,82.1,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T03:35:00Z,69.64,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T03:39:00Z,76.44,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T03:45:00Z,63.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T03:45:00Z,1025.0,11144222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T03:45:00Z,76.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-11-01T03:45:00Z,89.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T03:45:00Z,90.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T03:45:00Z,78.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T03:54:00,83.56,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T03:54:00,82.86,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T03:54:00,68.5,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T03:57:00Z,74.25,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T04:00:00Z,64.8,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T04:00:00Z,1025.0,11144222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2019-11-01T04:00:00Z,69.7,11111222 
