network,platform,latitude,longitude,date,relative_humidity 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-06-01T00:00:00Z,14.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-06-01T00:00:00Z,77.9 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-06-01T00:00:00Z,84.8 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-06-01T00:15:00Z,62.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-06-01T00:15:00Z,66.6 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-06-01T00:15:00Z,1016.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-06-01T00:30:00Z,62.0 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-06-01T00:30:00Z,66.4 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-06-01T00:30:00Z,1017.0 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2020-06-01T00:30:00Z,13.5 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-06-01T00:35:00Z,80.5 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-06-01T00:35:00Z,84.29 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-06-01T00:35:00Z,42.86 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-06-01T00:45:00Z,63.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-06-01T00:45:00Z,67.2 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-06-01T00:45:00Z,1017.0 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2020-06-01T00:45:00Z,67.0 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2020-06-01T00:45:00Z,72.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2020-06-01T00:45:00Z,86.0 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2020-06-01T00:45:00Z,51.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-06-01T00:46:00Z,60.29 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-06-01T00:54:00Z,69.92 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-06-01T00:57:00Z,47.45 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-06-01T00:59:00Z,42.83 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-06-01T01:00:00Z,64.2 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-06-01T01:00:00Z,69.3 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-06-01T01:00:00Z,1017.0 
NERRS,ioos:station:NOAA.NERRS:marcemet,28.1323,-97.0344,2020-06-01T01:00:00Z,13.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-06-01T01:00:00Z,79.7 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-06-01T01:00:00Z,86.4 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-06-01T01:15:00Z,65.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-06-01T01:15:00Z,66.3 
