network,platform,latitude,longitude,date,relative_humidity,qcFlag 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:00:00Z,90.67,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2017-10-01T00:00:00Z,99.65,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:00:00Z,74.8,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-10-01T00:00:00Z,70.95,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-10-01T00:00:00Z,76.19,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-10-01T00:00:00Z,69.55,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-10-01T00:00:00Z,73.48,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2017-10-01T00:00:00Z,66.02,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-10-01T00:00:00Z,83.9,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-10-01T00:00:00Z,69.59,1111122 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T00:00:00Z,0.0,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T00:00:00Z,0.0,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2017-10-01T00:00:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T00:00:00Z,84.5,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T00:00:00Z,84.5,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T00:00:00Z,109.5,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T00:00:00Z,109.5,11144222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:06:00Z,90.1,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2017-10-01T00:06:00Z,99.38,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:06:00Z,75.4,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:12:00Z,90.0,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2017-10-01T00:12:00Z,98.42,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:12:00Z,75.86,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:18:00Z,89.78,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2017-10-01T00:18:00Z,99.93,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:18:00Z,76.04,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:24:00Z,89.71,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:24:00Z,76.72,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:30:00Z,89.72,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:30:00Z,76.85,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-10-01T00:30:00Z,71.16,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-10-01T00:30:00Z,69.99,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-10-01T00:30:00Z,67.54,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-10-01T00:30:00Z,75.92,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2017-10-01T00:30:00Z,72.94,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-10-01T00:30:00Z,84.4,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-10-01T00:30:00Z,67.69,1111122 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T00:30:00Z,0.0,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T00:30:00Z,0.0,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2017-10-01T00:30:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T00:30:00Z,84.4,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T00:30:00Z,84.4,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T00:30:00Z,109.5,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T00:30:00Z,109.5,11144222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:36:00Z,90.03,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:36:00Z,77.13,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:42:00Z,90.36,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:42:00Z,77.31,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2017-10-01T00:45:00Z,96.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2017-10-01T00:45:00Z,72.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2017-10-01T00:45:00Z,83.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2017-10-01T00:45:00Z,95.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2017-10-01T00:45:00Z,81.0,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:48:00Z,90.59,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:48:00Z,78.25,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T00:54:00Z,91.2,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T00:54:00Z,78.25,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:00:00Z,91.78,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:00:00Z,78.79,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-10-01T01:00:00Z,74.31,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-10-01T01:00:00Z,74.85,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-10-01T01:00:00Z,70.66,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-10-01T01:00:00Z,72.57,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2017-10-01T01:00:00Z,65.68,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-10-01T01:00:00Z,84.8,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-10-01T01:00:00Z,69.5,1111122 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T01:00:00Z,0.0,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T01:00:00Z,0.0,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2017-10-01T01:00:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T01:00:00Z,81.1,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T01:00:00Z,81.1,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T01:00:00Z,109.5,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T01:00:00Z,109.5,11144222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:06:00Z,92.13,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:06:00Z,78.25,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:12:00Z,92.38,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2017-10-01T01:12:00Z,96.04,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:12:00Z,77.37,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:18:00Z,92.23,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:18:00Z,76.66,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:24:00Z,92.05,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:24:00Z,76.59,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:30:00Z,91.61,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:30:00Z,76.15,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-10-01T01:30:00Z,74.48,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-10-01T01:30:00Z,78.45,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-10-01T01:30:00Z,76.08,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-10-01T01:30:00Z,72.57,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2017-10-01T01:30:00Z,71.11,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-10-01T01:30:00Z,85.3,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-10-01T01:30:00Z,71.3,1111122 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T01:30:00Z,0.0,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2017-10-01T01:30:00Z,0.0,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2017-10-01T01:30:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T01:30:00Z,78.1,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2017-10-01T01:30:00Z,78.1,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T01:30:00Z,109.5,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2017-10-01T01:30:00Z,109.5,11144222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:36:00Z,91.76,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:36:00Z,75.48,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2017-10-01T01:42:00Z,91.79,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2017-10-01T01:42:00Z,75.17,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2017-10-01T01:45:00Z,93.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2017-10-01T01:45:00Z,76.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2017-10-01T01:45:00Z,95.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkbuhmet,26.0501,-81.7017,2017-10-01T01:45:00Z,97.0,1111122 
