network,platform,latitude,longitude,date,relative_humidity,qcFlag 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:00:00Z,93.22,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:00:00Z,85.47,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-08-01T00:00:00Z,80.81,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-08-01T00:00:00Z,83.1,1111122 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-08-01T00:00:00Z,78.4,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-08-01T00:00:00Z,78.4,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2018-08-01T00:05:00Z,78.46,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:06:00Z,93.23,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:06:00Z,85.06,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-08-01T00:06:00Z,77.61,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:12:00Z,93.01,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:12:00Z,84.92,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-08-01T00:12:00Z,77.99,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-08-01T00:15:00Z,81.9,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:18:00Z,93.14,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:18:00Z,84.96,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-08-01T00:18:00Z,76.79,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:24:00Z,92.93,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:24:00Z,85.14,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-08-01T00:24:00Z,75.83,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:30:00Z,93.1,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:30:00Z,85.18,1111122 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2018-08-01T00:30:00Z,75.66,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-08-01T00:30:00Z,83.6,1111122 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-08-01T00:30:00Z,78.1,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2018-08-01T00:30:00Z,78.1,11111222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2018-08-01T00:30:00Z,86.3,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-08-01T00:34:00Z,93.4,1111122 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2018-08-01T00:35:00Z,78.8,1111122 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2018-08-01T00:36:00Z,92.74,1111122 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2018-08-01T00:36:00Z,85.7,1111122 
