network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-11-01T00:00:00Z,99.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-11-01T00:00:00Z,99.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gndbcwq,30.3836,-88.4364,2015-11-01T00:00:00Z,17.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2015-11-01T00:00:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:00:00Z,4.89,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2015-11-01T00:00:00Z,2.89,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:00:00Z,4.17,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:00:00Z,4.13,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:00:00Z,2.04,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2015-11-01T00:00:00Z,2.13,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:15:00Z,5.16,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:15:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:15:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:15:00Z,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-11-01T00:30:00Z,99.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-11-01T00:30:00Z,99.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:30:00Z,4.96,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:30:00Z,-9999.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2015-11-01T00:45:00Z,3.0,1111122 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2015-11-01T00:45:00Z,13.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2015-11-01T00:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2015-11-01T00:45:00Z,359.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T00:45:00Z,5.04,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2015-11-01T00:45:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-11-01T00:45:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-11-01T00:45:00Z,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-11-01T01:00:00Z,99.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-11-01T01:00:00Z,99.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gndbcwq,30.3836,-88.4364,2015-11-01T01:00:00Z,16.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2015-11-01T01:00:00Z,7.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-11-01T01:00:00Z,4.61,1111122 
