network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T00:00:00Z,11.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T00:00:00Z,421.266916,11141222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T00:30:00Z,307.822851,11141222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T00:30:00Z,9.0,11133222 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2019-07-01T00:45:00Z,7.0,11113222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T01:00:00Z,9.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T01:00:00Z,306.806934,11141222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T01:30:00Z,252.963333,11141222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T01:30:00Z,8.0,11133222 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2019-07-01T01:45:00Z,6.0,11113222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T02:00:00Z,8.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T02:00:00Z,275.652146,11141222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T02:30:00Z,237.385939,11141222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T02:30:00Z,7.0,11133222 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2019-07-01T02:45:00Z,9.0,11113222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T03:00:00Z,6.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T03:00:00Z,227.226769,11141222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T03:30:00Z,223.50174,11141222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T03:30:00Z,6.0,11133222 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2019-07-01T03:45:00Z,8.0,11113222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T04:00:00Z,6.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2019-07-01T04:00:00Z,239.417773,11141222 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2019-07-01T04:00:00Z,1.17,11113222 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2019-07-01T04:00:00Z,1.9,11113222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-07-01T04:30:00Z,199.458371,11141222 
