network,platform,latitude,longitude,date,sea_water_turbidity 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-11-01T00:15:00Z,119.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-11-01T00:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-11-01T00:15:00Z,15.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T00:30:00Z,354.893672 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-11-01T00:45:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-11-01T00:45:00Z,18.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-11-01T01:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-11-01T01:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-11-01T01:15:00Z,14.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T01:30:00Z,331.188942 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-11-01T01:45:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-11-01T02:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-11-01T02:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-11-01T02:15:00Z,19.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T02:30:00Z,478.158268 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-11-01T02:45:00Z,38.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-11-01T03:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-11-01T03:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-11-01T03:15:00Z,15.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T03:30:00Z,363.021008 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-11-01T03:45:00Z,16.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-11-01T04:00:00Z,2.77 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-11-01T04:00:00Z,1.99 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-11-01T04:00:00Z,9.43 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-11-01T04:00:00Z,2.27 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-11-01T04:15:00Z,9.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-11-01T04:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-11-01T04:15:00Z,16.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T04:30:00Z,302.065988 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-11-01T04:45:00Z,10.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-11-01T05:00:00Z,2.3 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-11-01T05:00:00Z,1.75 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-11-01T05:00:00Z,8.74 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-11-01T05:00:00Z,2.23 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-11-01T05:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-11-01T05:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-11-01T05:15:00Z,19.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-11-01T05:30:00Z,306.129656 
