network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-10-01T00:00:00Z,99.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-10-01T00:00:00Z,99.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gndbcwq,30.3836,-88.4364,2015-10-01T00:00:00Z,9.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndbhwq,30.4178,-88.4054,2015-10-01T00:00:00Z,2.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:00:00Z,4.32,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2015-10-01T00:00:00Z,4.69,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:00:00Z,3.74,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:00:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2015-10-01T00:00:00Z,3.57,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:15:00Z,3.93,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:15:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:15:00Z,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2015-10-01T00:30:00Z,99.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2015-10-01T00:30:00Z,99.0,11111222 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2015-10-01T00:30:00Z,4.0,1111122 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2015-10-01T00:30:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:marscwq,27.8383,-97.0503,2015-10-01T00:30:00Z,2.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2015-10-01T00:30:00Z,3.84,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2015-10-01T00:30:00Z,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2015-10-01T00:30:00Z,-9999.0,1111122 
