network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T00:45:00Z,25.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T00:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T01:45:00Z,36.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T01:45:00Z,5.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T02:45:00Z,31.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T02:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T02:45:00Z,10.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T03:45:00Z,33.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T03:45:00Z,5.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T03:45:00Z,11.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T04:00:00Z,1.83,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T04:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T04:00:00Z,3.09,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T04:00:00Z,1.56,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T04:45:00Z,83.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T04:45:00Z,4.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T04:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T05:00:00Z,1.89,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T05:00:00Z,1.94,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T05:00:00Z,4.09,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T05:00:00Z,1.08,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T05:45:00Z,32.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T05:45:00Z,4.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T05:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T06:00:00Z,1.9,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T06:00:00Z,1.85,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T06:00:00Z,3.23,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T06:00:00Z,1.59,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T06:45:00Z,41.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T06:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T07:00:00Z,1.75,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T07:00:00Z,1.29,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T07:00:00Z,2.99,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T07:00:00Z,1.26,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T07:45:00Z,33.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T07:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T07:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T08:00:00Z,1.71,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T08:00:00Z,1.38,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T08:00:00Z,3.08,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T08:00:00Z,1.31,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T08:45:00Z,23.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T08:45:00Z,5.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T08:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T09:00:00Z,1.48,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T09:00:00Z,1.44,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T09:00:00Z,3.22,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T09:00:00Z,1.09,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T09:45:00Z,24.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T09:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T10:00:00Z,1.36,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T10:00:00Z,1.21,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T10:00:00Z,3.28,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T10:00:00Z,1.03,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T10:45:00Z,40.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T10:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T11:00:00Z,1.47,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T11:00:00Z,1.04,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T11:00:00Z,3.15,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T11:00:00Z,1.2,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T11:45:00Z,48.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T11:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T12:00:00Z,1.59,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T12:00:00Z,1.03,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T12:00:00Z,3.16,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T12:00:00Z,1.6,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T12:45:00Z,42.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T12:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T12:45:00Z,11.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T13:00:00Z,1.67,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T13:00:00Z,1.17,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T13:00:00Z,2.9,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T13:00:00Z,1.4,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T13:45:00Z,34.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T13:45:00Z,5.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T13:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T14:00:00Z,1.78,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T14:00:00Z,2.19,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T14:00:00Z,3.13,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T14:00:00Z,1.49,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T14:45:00Z,63.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T14:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T14:45:00Z,10.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T15:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T15:00:00Z,1.86,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T15:00:00Z,4.78,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T15:00:00Z,1.32,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T15:45:00Z,68.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T15:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T15:45:00Z,12.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T16:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-09-01T16:00:00Z,2.15,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-09-01T16:00:00Z,4.12,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-09-01T16:00:00Z,1.51,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-09-01T16:45:00Z,39.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-09-01T16:45:00Z,6.0,1111122 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2018-09-01T16:45:00Z,9.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-09-01T17:00:00Z,1.9,1111122 
