network,platform,latitude,longitude,date,sea_water_turbidity 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T00:15:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T00:15:00Z,12.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T00:30:00Z,466.983181 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-08-01T00:30:00Z,139.857907 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-08-01T00:45:00Z,24.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-08-01T00:45:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-08-01T00:45:00Z,15.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T01:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T01:15:00Z,15.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T01:30:00Z,513.376724 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-08-01T01:30:00Z,155.435301 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-08-01T01:45:00Z,23.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-08-01T01:45:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-08-01T01:45:00Z,16.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T02:15:00Z,9.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T02:15:00Z,15.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T02:30:00Z,623.09576 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-08-01T02:30:00Z,270877.3361 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-08-01T02:45:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-08-01T02:45:00Z,7.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-08-01T02:45:00Z,14.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T03:00:00Z,519.133587 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T03:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T03:15:00Z,14.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-08-01T03:30:00Z,121.232762 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-08-01T03:45:00Z,17.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-08-01T03:45:00Z,8.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-08-01T03:45:00Z,14.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-08-01T04:00:00Z,2.84 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-08-01T04:00:00Z,1.26 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-08-01T04:00:00Z,1.5 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-08-01T04:00:00Z,3.71 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T04:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T04:15:00Z,13.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T04:30:00Z,752.455858 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-08-01T04:30:00Z,153.403467 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-08-01T04:45:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-08-01T04:45:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-08-01T04:45:00Z,17.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-08-01T05:00:00Z,2.81 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-08-01T05:00:00Z,1.53 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-08-01T05:00:00Z,1.4 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-08-01T05:00:00Z,3.59 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T05:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T05:15:00Z,13.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T05:30:00Z,741.280771 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-08-01T05:30:00Z,128.005542 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-08-01T05:45:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-08-01T05:45:00Z,8.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-08-01T05:45:00Z,18.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-08-01T06:00:00Z,2.7 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-08-01T06:00:00Z,1.44 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-08-01T06:00:00Z,1.37 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-08-01T06:00:00Z,3.82 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-08-01T06:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-08-01T06:15:00Z,11.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-08-01T06:30:00Z,731.798879 
