network,platform,latitude,longitude,date,sea_water_turbidity 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T06:00:00Z,5.83 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T06:00:00Z,3.32 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T06:00:00Z,2.62 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T06:00:00Z,2.57 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T06:15:00Z,62.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T06:15:00Z,36.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T06:15:00Z,62.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T06:30:00Z,318.997938 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T06:45:00Z,16.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T06:45:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T06:45:00Z,96.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T07:00:00Z,319.675216 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T07:00:00Z,3.7 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T07:00:00Z,2.65 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T07:00:00Z,2.43 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T07:00:00Z,2.67 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T07:15:00Z,54.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T07:15:00Z,37.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T07:15:00Z,81.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T07:30:00Z,407.721356 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T07:45:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T07:45:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T07:45:00Z,128.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T08:00:00Z,295.631847 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T08:00:00Z,2.94 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T08:00:00Z,2.37 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-09-01T08:00:00Z,2.34 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-09-01T08:00:00Z,2.64 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T08:15:00Z,45.0 
