network,platform,latitude,longitude,date,sea_water_turbidity 
NERRS,ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,2020-06-01T00:00:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-06-01T00:15:00Z,10.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-06-01T00:30:00Z,203.1834 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-06-01T00:30:00Z,1018.626112 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2020-06-01T00:45:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-06-01T00:45:00Z,29.0 
NERRS,ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,2020-06-01T01:00:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-06-01T01:15:00Z,10.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-06-01T01:30:00Z,231.629076 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-06-01T01:30:00Z,843.888388 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2020-06-01T01:45:00Z,8.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-06-01T01:45:00Z,33.0 
NERRS,ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,2020-06-01T02:00:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-06-01T02:15:00Z,12.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-06-01T02:30:00Z,172.028612 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-06-01T02:30:00Z,836.776969 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2020-06-01T02:45:00Z,7.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-06-01T02:45:00Z,45.0 
NERRS,ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,2020-06-01T03:00:00Z,9.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-06-01T03:15:00Z,13.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-06-01T03:30:00Z,129.021459 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-06-01T03:30:00Z,1011.514693 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2020-06-01T03:45:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-06-01T03:45:00Z,38.0 
NERRS,ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,2020-06-01T04:00:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-06-01T04:15:00Z,10.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-06-01T04:30:00Z,130.037376 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-06-01T04:30:00Z,921.775358 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2020-06-01T04:45:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-06-01T04:45:00Z,43.0 
NERRS,ioos:station:NOAA.NERRS:gndblwq,30.3571,-88.4629,2020-06-01T05:00:00Z,10.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-06-01T05:00:00Z,4.38 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-06-01T05:00:00Z,1.45 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-06-01T05:00:00Z,10.29 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-06-01T05:15:00Z,8.0 
