network,platform,latitude,longitude,date,sea_water_turbidity 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T00:15:00Z,9.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T00:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T00:15:00Z,9.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T00:30:00Z,280.054453 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T00:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T00:45:00Z,27.0 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T01:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T01:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T01:15:00Z,10.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T01:30:00Z,362.34373 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T01:45:00Z,4.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T01:45:00Z,24.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T02:00:00Z,337.284444 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T02:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T02:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T02:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T02:45:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T02:45:00Z,22.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T03:00:00Z,298.340959 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T03:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T03:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T03:15:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T03:45:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T03:45:00Z,25.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T04:00:00Z,3.48 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T04:00:00Z,2.47 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T04:00:00Z,6.47 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T04:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T04:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T04:15:00Z,12.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T04:30:00Z,263.461142 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T04:45:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T04:45:00Z,26.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T05:00:00Z,3.27 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T05:00:00Z,2.52 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T05:00:00Z,5.32 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T05:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T05:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T05:15:00Z,13.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T05:30:00Z,257.36564 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T05:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T05:45:00Z,27.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T06:00:00Z,246.867831 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T06:00:00Z,3.19 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T06:00:00Z,2.65 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T06:00:00Z,5.14 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T06:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T06:15:00Z,7.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T06:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T06:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T06:45:00Z,25.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T07:00:00Z,230.613159 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T07:00:00Z,2.85 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T07:00:00Z,2.6 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T07:00:00Z,4.02 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T07:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T07:15:00Z,7.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T07:15:00Z,11.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T07:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T07:45:00Z,17.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T08:00:00Z,3.4 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T08:00:00Z,2.62 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T08:00:00Z,4.42 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T08:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T08:15:00Z,7.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T08:15:00Z,10.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T08:30:00Z,186.928728 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T08:45:00Z,4.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T08:45:00Z,16.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T09:00:00Z,3.27 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T09:00:00Z,2.68 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T09:00:00Z,4.3 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T09:15:00Z,8.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T09:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T09:15:00Z,12.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T09:30:00Z,201.151566 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T09:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T09:45:00Z,11.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T10:00:00Z,189.63784 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T10:00:00Z,2.99 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T10:00:00Z,2.55 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T10:00:00Z,4.2 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T10:15:00Z,8.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T10:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T10:15:00Z,13.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T10:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T10:45:00Z,13.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T11:00:00Z,217.406238 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T11:00:00Z,3.31 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T11:00:00Z,2.44 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T11:00:00Z,4.39 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T11:15:00Z,7.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T11:15:00Z,4.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T11:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T11:45:00Z,2.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T11:45:00Z,13.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T12:00:00Z,4.15 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T12:00:00Z,2.56 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T12:00:00Z,9.44 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T12:15:00Z,10.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T12:15:00Z,5.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T12:15:00Z,14.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T12:30:00Z,332.204859 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T12:45:00Z,3.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T12:45:00Z,14.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T13:00:00Z,4.85 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T13:00:00Z,3.35 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T13:00:00Z,4.69 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T13:15:00Z,12.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T13:15:00Z,6.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T13:15:00Z,14.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T13:30:00Z,223.840379 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T13:45:00Z,4.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T13:45:00Z,15.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T14:00:00Z,245.851914 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T14:00:00Z,6.08 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2020-10-01T14:00:00Z,2.72 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2020-10-01T14:00:00Z,4.87 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-10-01T14:15:00Z,14.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-10-01T14:15:00Z,8.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-10-01T14:15:00Z,16.0 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-10-01T14:45:00Z,4.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-10-01T14:45:00Z,13.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-10-01T15:00:00Z,192.346952 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-10-01T15:00:00Z,3.11 
