network,platform,latitude,longitude,date,sea_water_turbidity 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T00:30:00Z,227.904047 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T00:30:00Z,185.912811 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T01:30:00Z,173.044529 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T01:30:00Z,209.278902 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T02:30:00Z,191.669674 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T02:30:00Z,220.11535 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T03:30:00Z,185.574172 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T03:30:00Z,253.640611 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T04:30:00Z,225.872213 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T04:30:00Z,384.693904 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T05:30:00Z,249.576943 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T05:30:00Z,386.387099 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T06:30:00Z,327.802552 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T06:30:00Z,286.488594 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T07:30:00Z,333.220776 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T07:30:00Z,270.233922 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T08:30:00Z,300.372793 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T08:30:00Z,305.113739 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T09:30:00Z,399.255381 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T09:30:00Z,303.081905 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T10:30:00Z,402.98041 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T10:30:00Z,410.091829 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T11:00:00Z,388.418933 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-07-01T11:30:00Z,385.371182 
